Baseline Data Length
395
Rows Removed	RMSSD	RMSE	Mean	SampEn
0	20.69486297827482	32.76339736914432	759.7715736040609	1.593793790734533
Original Data Length
395
Rows Removed	RMSSD	RMSE	Mean	SampEn
2.000000000000000000e+01	2.310171006750483258e+01	3.669363475660066598e+01	7.611925133689842369e+02	1.488685513008690897e+00
3.800000000000000000e+01	2.418118230081239872e+01	3.691490400379074543e+01	7.596516853932574804e+02	1.498642600790316415e+00
1.300000000000000000e+01	2.263096388393357827e+01	3.723404298746488195e+01	7.604146981627297919e+02	1.467327854567532341e+00
3.400000000000000000e+01	2.313717119286588897e+01	3.613500822532753887e+01	7.598249999999994770e+02	1.479742095261474599e+00
2.000000000000000000e+00	2.196969547312381721e+01	3.681004663495317430e+01	7.602423469387757677e+02	1.469080554739178091e+00
2.500000000000000000e+01	2.349508505495490951e+01	3.650693630907704090e+01	7.595555555555533829e+02	1.461441098181222253e+00
3.900000000000000000e+01	2.340402930204302834e+01	3.728830336637823706e+01	7.595380281690107722e+02	1.463967399438108830e+00
1.100000000000000000e+01	2.248076548416878850e+01	3.690523559310279467e+01	7.601723237597919933e+02	1.426158959683819560e+00
2.700000000000000000e+01	2.284821620186048463e+01	3.652853230539343343e+01	7.611335149863754168e+02	1.470925189459374227e+00
4.000000000000000000e+00	2.219457077130781286e+01	3.678975225708233410e+01	7.600948717948726880e+02	1.435301940226585860e+00
3.900000000000000000e+01	2.324847361492768272e+01	3.672214602563942520e+01	7.597464788732382885e+02	1.524237230720295599e+00
3.000000000000000000e+00	2.200250568481592950e+01	3.683906679751157753e+01	7.603861892583123563e+02	1.445134861142825855e+00
3.500000000000000000e+01	2.414568214982933370e+01	3.677926414849163450e+01	7.607437325905285661e+02	1.520109804307323564e+00
2.400000000000000000e+01	2.378762174976383648e+01	3.609277429714692431e+01	7.599405405405402689e+02	1.471133241056920005e+00
3.100000000000000000e+01	2.302274877868316949e+01	3.668583860253419004e+01	7.606887052341588742e+02	1.485868939710677239e+00
8.000000000000000000e+00	2.205430134446275758e+01	3.690021648359658002e+01	7.599689119170984668e+02	1.454315887217211500e+00
3.600000000000000000e+01	2.272013384187763663e+01	3.602173608813335903e+01	7.602150837988849617e+02	1.443608817715875237e+00
3.500000000000000000e+01	2.394418556448871271e+01	3.760295777472213530e+01	7.594874651810603154e+02	1.482571191555311030e+00
2.500000000000000000e+01	2.324579204558198953e+01	3.710502324258915507e+01	7.595962059620582068e+02	1.516068704866702976e+00
7.000000000000000000e+00	2.221509312819783233e+01	3.691580704278605651e+01	7.602118863049101947e+02	1.454562332248892975e+00
3.300000000000000000e+01	2.321691193936477049e+01	3.646228957765700329e+01	7.600747922437684565e+02	1.481735525271773657e+00
3.200000000000000000e+01	2.359239513134181010e+01	3.608554981945073337e+01	7.600994475138128337e+02	1.513133086086081880e+00
3.500000000000000000e+01	2.395287505632874314e+01	3.695083747909976069e+01	7.599220055710303541e+02	1.469647234013882864e+00
8.000000000000000000e+00	2.207854926535036455e+01	3.697914583977916436e+01	7.604948186528500855e+02	1.443217911095921124e+00
